382189305,FreeRADIUS/freeradius-server,2018-11-19,2018-05-19,22814,185
382791162,php-fig/fig-standards,2018-11-20,2018-05-20,2287,113
393681341,jekyll/jekyll,2018-12-22,2018-06-22,9565,282
393724050,strapi/strapi,2018-12-23,2018-06-23,4766,815
397129620,openzfs/zfs,2019-01-08,2018-07-08,4780,190
397487623,openzfs/zfs,2019-01-09,2018-07-09,4785,195
397574283,openzfs/zfs,2019-01-09,2018-07-09,4785,195
398264957,magit/magit,2019-01-11,2018-07-11,10023,477
398582372,doctrine/orm,2019-01-12,2018-07-12,10747,12
406907882,spring/spring,2019-02-05,2018-08-05,27347,411
407645854,strapi/strapi,2019-02-07,2018-08-07,4961,758
409028181,SFML/SFML,2019-02-11,2018-08-11,2209,38
421471669,tidyverse/lubridate,2019-03-15,2018-09-15,1510,14
429401662,rails/rails,2019-04-04,2018-10-04,69409,1243
430055555,libretro/RetroArch,2019-04-06,2018-10-06,45768,1661
432631890,FreeRADIUS/freeradius-server,2019-04-12,2018-10-12,22877,65
435537996,libretro/RetroArch,2019-04-21,2018-10-21,45908,1623
436303024,vector-im/element-web,2019-04-23,2018-10-23,20718,3096
436467857,gradle/gradle,2019-04-24,2018-10-24,51385,1506
453440611,strapi/strapi,2019-06-07,2018-12-07,5541,821
457082435,libretro/RetroArch,2019-06-17,2018-12-17,46630,1991
457401238,CadQuery/cadquery,2019-06-18,2018-12-18,724,147
458249013,locustio/locust,2019-06-19,2018-12-19,1228,34
463261125,Automattic/mongoose,2019-07-02,2019-01-02,10510,722
477798655,libretro/RetroArch,2019-08-07,2019-02-07,47398,2137
483355054,kaminari/kaminari,2019-08-21,2019-02-21,1456,20
483768936,kaminari/kaminari,2019-08-22,2019-02-22,1456,20
484737447,symfony/symfony,2019-08-23,2019-02-23,43877,3893
485217326,symfony/symfony,2019-08-26,2019-02-26,43929,3909
488965754,django-extensions/django-extensions,2019-09-04,2019-03-04,2805,94
494492439,saltstack/salt,2019-09-17,2019-03-17,92103,624
498868764,hashicorp/nomad,2019-09-26,2019-03-26,13786,1000
503273161,FreeRADIUS/freeradius-server,2019-10-07,2019-04-07,23119,245
503451343,ruby-i18n/i18n,2019-10-07,2019-04-07,1004,10
503598709,AvaloniaUI/Avalonia,2019-10-07,2019-04-07,8260,1016
510675125,composer/composer,2019-10-22,2019-04-22,8212,68
518811026,mrdoob/three.js,2019-11-06,2019-05-06,27421,2081
522727008,Sonarr/Sonarr,2019-11-14,2019-05-14,8110,224
524307759,strapi/strapi,2019-11-18,2019-05-18,6852,1387
525140367,php/php-src,2019-11-19,2019-05-19,115367,3420
528942466,chocolate-doom/chocolate-doom,2019-11-26,2019-05-26,4377,36
530232265,doctrine/orm,2019-11-29,2019-05-29,10777,27
530975624,doctrine/dbal,2019-12-02,2019-06-02,7839,15
532874644,hashicorp/vagrant,2019-12-04,2019-06-04,11827,291
534580041,kangax/compat-table,2019-12-08,2019-06-08,2976,146
534580474,kangax/compat-table,2019-12-08,2019-06-08,2976,146
534583789,nim-lang/Nim,2019-12-08,2019-06-08,15779,773
540979735,GoldenCheetah/GoldenCheetah,2019-12-20,2019-06-20,8925,112
542105846,microsoft/vscode-python,2019-12-24,2019-06-24,1635,90
544017763,jashkenas/coffeescript,2019-12-30,2019-06-30,4799,34
544279140,pallets/jinja,2019-12-31,2019-07-01,1798,14
544542483,strapi/strapi,2020-01-02,2019-07-02,7423,1773
548445007,GoldenCheetah/GoldenCheetah,2020-01-11,2019-07-11,8947,130
549848681,tpope/vim-fugitive,2020-01-14,2019-07-14,1403,299
554355383,ytdl-org/youtube-dl,2020-01-23,2019-07-23,14255,213
556620312,rails/rails,2020-01-29,2019-07-29,71024,989
565358712,libretro/RetroArch,2020-02-14,2019-08-14,48914,1402
567185616,Homebrew/homebrew-bundle,2020-02-18,2019-08-18,690,24
569316203,jekyll/jekyll,2020-02-22,2019-08-22,9981,104
569895996,Sitecore/jss,2020-02-24,2019-08-24,277,23
574196668,matplotlib/matplotlib,2020-03-02,2019-09-02,28846,1021
577744765,expressjs/express,2020-03-09,2019-09-09,5654,22
586054883,memcached/memcached,2020-03-23,2019-09-23,1654,97
595484179,mitmproxy/mitmproxy,2020-04-06,2019-10-06,8016,224
598170002,openscad/openscad,2020-04-11,2019-10-11,8281,182
603093257,EasyNetQ/EasyNetQ,2020-04-20,2019-10-20,1619,7
608513361,chef/ohai,2020-04-28,2019-10-28,3542,126
610982272,jshttp/mime-db,2020-05-01,2019-11-01,599,52
613337048,apache/couchdb,2020-05-06,2019-11-06,12048,231
618265614,emscripten-core/emscripten,2020-05-14,2019-11-14,18649,73
619762251,symfony/symfony,2020-05-17,2019-11-17,48066,2618
620694982,bigbluebutton/bigbluebutton,2020-05-19,2019-11-19,24692,608
627087857,libretro/RetroArch,2020-05-29,2019-11-29,49814,1588
628465400,pandas-dev/pandas,2020-06-01,2019-12-01,21103,807
631364219,OpenRA/OpenRA,2020-06-05,2019-12-05,27294,603
633703607,rubygems/rubygems,2020-06-07,2019-12-07,20504,700
636440138,openzfs/zfs,2020-06-10,2019-12-10,5524,111
638202113,nodejs/node,2020-06-13,2019-12-13,24401,938
638643486,openzfs/zfs,2020-06-15,2019-12-15,5526,99
638768339,openzfs/zfs,2020-06-15,2019-12-15,5526,99
639051823,openzfs/zfs,2020-06-15,2019-12-15,5526,99
639068210,openzfs/zfs,2020-06-15,2019-12-15,5526,99
