id,issue_id,project_name,startDate,endDate,count_before,count_halfyear
62,330697632,saltstack/salt,2018-06-08T15:11:40Z,2018-06-11T19:55:01Z,68177,997
63,332965663,gatling/gatling,2018-06-16T06:44:05Z,2018-06-19T05:58:57Z,3595,264
64,333693227,jasmine/jasmine,2018-06-19T14:18:37Z,2018-06-21T00:27:24Z,803,50
65,338480646,mrdoob/three.js,2018-07-05T08:46:40Z,2018-07-21T11:50:45Z,21982,1528
66,339498894,gradle/gradle,2018-07-09T15:29:20Z,2018-07-18T14:38:23Z,42725,1681
67,340189202,mojolicious/mojo,2018-07-11T10:47:31Z,2018-07-11T13:28:51Z,11347,240
68,340595516,mojolicious/mojo,2018-07-12T11:19:18Z,2018-07-12T12:21:03Z,11352,245
69,340599374,npm/npm,2018-07-12T11:32:55Z,2018-07-12T16:20:47Z,8292,328
70,340715954,npm/npm,2018-07-12T16:43:58Z,2018-07-12T16:48:38Z,8292,328
71,347951340,composer/composer,2018-08-06T14:37:47Z,2018-08-06T14:47:23Z,7424,122
72,348797250,HandBrake/HandBrake,2018-08-08T16:19:15Z,2022-12-07T20:51:59Z,7852,38
73,349736129,tutao/tutanota,2018-08-11T14:00:36Z,2021-06-20T08:42:02Z,1276,147
74,352373552,JuliaLang/julia,2018-08-21T03:36:57Z,2018-10-08T14:45:13Z,40192,1291
75,352750519,rails/rails,2018-08-21T23:48:12Z,2019-04-12T13:52:44Z,62642,862
76,354147871,Automattic/mongoose,2018-08-27T01:13:47Z,2018-10-15T04:28:07Z,8888,697
77,356609376,openzfs/zfs,2018-09-03T22:45:46Z,2018-09-04T06:25:01Z,4450,208
78,362259981,phusion/passenger,2018-09-20T16:10:26Z,2020-05-26T14:52:33Z,6496,2
79,364146679,openzfs/zfs,2018-09-26T18:04:06Z,2019-01-28T21:49:16Z,4478,202
80,369840190,diaspora/diaspora,2018-10-13T20:53:02Z,2018-10-18T18:39:09Z,12642,7
81,370963615,gatling/gatling,2018-10-17T08:48:50Z,2018-10-18T08:40:25Z,3877,372
82,372256539,arduino/Arduino,2018-10-20T21:56:14Z,2018-10-21T03:12:22Z,5392,121
83,372714597,pallets/flask,2018-10-22T21:46:33Z,2018-10-24T01:49:26Z,2831,27
84,372725525,gatling/gatling,2018-10-22T22:24:44Z,2018-10-24T07:44:38Z,3885,376
85,376348803,composer/composer,2018-11-01T11:09:34Z,2018-11-01T15:08:44Z,7525,164
86,382189305,FreeRADIUS/freeradius-server,2018-11-19T12:17:44Z,2018-11-19T13:26:08Z,14211,181
87,382791162,php-fig/fig-standards,2018-11-20T18:20:00Z,2018-12-10T14:26:31Z,1743,112
88,393681341,jekyll/jekyll,2018-12-22T15:23:14Z,2018-12-28T19:44:12Z,8852,266
89,393724050,strapi/strapi,2018-12-23T05:03:40Z,2022-05-06T16:58:54Z,4506,775
90,397129620,openzfs/zfs,2019-01-08T22:52:05Z,2019-02-15T17:54:24Z,4594,194
91,397487623,openzfs/zfs,2019-01-09T17:59:22Z,2019-01-20T19:37:55Z,4596,196
92,397574283,openzfs/zfs,2019-01-09T21:42:37Z,2019-05-28T22:33:57Z,4597,197
93,398264957,magit/magit,2019-01-11T12:15:30Z,2019-01-11T19:15:31Z,9539,477
94,398582372,doctrine/orm,2019-01-12T19:04:27Z,2019-01-12T19:09:03Z,5733,11
95,406907882,spring/spring,2019-02-05T18:06:53Z,2019-02-06T19:51:29Z,12705,412
96,407645854,strapi/strapi,2019-02-07T11:05:41Z,2022-05-06T17:12:17Z,4703,737
97,409028181,SFML/SFML,2019-02-11T23:28:12Z,2019-02-11T23:58:51Z,1893,39
98,421471669,tidyverse/lubridate,2019-03-15T11:21:52Z,2022-11-05T12:45:30Z,1473,14
99,429401662,rails/rails,2019-04-04T17:38:40Z,2019-04-04T17:55:50Z,64241,1234
100,430055555,libretro/RetroArch,2019-04-06T17:14:16Z,2019-04-10T02:48:25Z,35863,1354
101,432631890,FreeRADIUS/freeradius-server,2019-04-12T15:48:23Z,2019-04-13T18:27:48Z,14274,64
102,435537996,libretro/RetroArch,2019-04-21T19:05:55Z,2019-04-24T00:23:19Z,36015,1336
103,436303024,vector-im/element-web,2019-04-23T17:24:34Z,2022-01-05T17:44:54Z,15655,2408
104,436467857,gradle/gradle,2019-04-24T02:28:30Z,2019-04-24T07:31:14Z,44908,998
105,453440611,strapi/strapi,2019-06-07T10:17:02Z,2022-03-24T21:11:50Z,5253,793
106,457082435,libretro/RetroArch,2019-06-17T18:19:21Z,2019-06-17T21:46:08Z,36706,1695
107,457401238,CadQuery/cadquery,2019-06-18T10:55:18Z,2022-05-25T15:44:43Z,718,147
108,458249013,locustio/locust,2019-06-19T22:11:51Z,2019-07-12T15:33:46Z,1082,33
109,463261125,Automattic/mongoose,2019-07-02T14:27:00Z,2020-03-11T21:02:25Z,10118,701
110,477798655,libretro/RetroArch,2019-08-07T09:02:42Z,2019-08-07T09:02:42Z,37365,1886
111,483355054,kaminari/kaminari,2019-08-21T11:08:30Z,2019-08-22T13:36:18Z,1401,20
112,483768936,kaminari/kaminari,2019-08-22T04:51:00Z,2019-08-22T13:35:26Z,1401,20
113,484737447,symfony/symfony,2019-08-23T22:37:35Z,2019-08-24T00:15:28Z,42051,3780
114,485217326,symfony/symfony,2019-08-26T12:44:24Z,2019-11-25T15:57:59Z,42090,3783
115,488965754,django-extensions/django-extensions,2019-09-04T06:23:48Z,2019-09-04T07:00:02Z,2522,93
116,494492439,saltstack/salt,2019-09-17T08:58:08Z,2021-03-29T19:38:29Z,69663,437
117,498868764,hashicorp/nomad,2019-09-26T12:58:51Z,2022-10-17T03:51:46Z,12289,613
118,503273161,FreeRADIUS/freeradius-server,2019-10-07T07:16:46Z,2019-10-08T10:51:01Z,14516,245
119,503451343,ruby-i18n/i18n,2019-10-07T13:25:51Z,2019-10-08T09:31:02Z,555,10
